iter	Logloss
0	0.6095076606
1	0.5475374594
2	0.4998449088
3	0.46137836
4	0.4308115576
5	0.4059584274
6	0.3896617701
7	0.3784611375
8	0.3694846367
9	0.3618194815
10	0.3564820082
11	0.3501652958
12	0.3456481733
13	0.3411109703
14	0.3382768064
15	0.3347534169
16	0.3320089543
17	0.3296334039
18	0.3276749429
19	0.3251634328
20	0.3228792582
21	0.3211826408
22	0.3195341179
23	0.3174600683
24	0.3162819896
25	0.3146281538
26	0.3136596118
27	0.312486788
28	0.3113767984
29	0.3103025284
30	0.3091712071
31	0.3084114379
32	0.3074298329
33	0.3066630481
34	0.3057885279
35	0.3052821894
36	0.304517954
37	0.3039912211
38	0.3030289097
39	0.3024917125
40	0.3019120846
41	0.3012838678
42	0.3003412045
43	0.2998818517
44	0.2994948709
45	0.2989832839
46	0.2986483063
47	0.2973904963
48	0.2969186439
49	0.2965431609
50	0.2960036662
51	0.2957367648
52	0.295227976
53	0.2948419934
54	0.2944962729
55	0.2940135237
56	0.2936757726
57	0.2934621133
58	0.2929911582
59	0.2925178412
60	0.2919917935
61	0.2915707819
62	0.2913505191
63	0.291093547
64	0.2906063094
65	0.2903008173
66	0.2899219097
67	0.2896796393
68	0.2888301993
69	0.288352911
70	0.2880051039
71	0.2878332951
72	0.2875118043
73	0.2873168466
74	0.2871350002
75	0.2867622563
76	0.2864638205
77	0.286154796
78	0.2857181892
79	0.2853669307
80	0.2850056228
81	0.2847030882
82	0.2844753052
83	0.2835252478
84	0.2831128786
85	0.2828046927
86	0.2824323496
87	0.2821683339
88	0.2820359268
89	0.2817441725
90	0.2815150179
91	0.2813687999
92	0.2811796506
93	0.2803786125
94	0.2802376629
95	0.2798553108
96	0.2796732915
97	0.2794835779
98	0.2791591818
99	0.2787851686
100	0.278588878
101	0.2783003727
102	0.2780919776
103	0.2776620817
104	0.277421577
105	0.277274824
106	0.2770642773
107	0.2767463052
108	0.2758135142
109	0.2756477881
110	0.2753770352
111	0.2751402134
112	0.2748926856
113	0.274387561
114	0.2741558902
115	0.273965175
116	0.2737521756
117	0.2735354141
118	0.2733023417
119	0.2729890311
120	0.2727305263
121	0.2724448547
122	0.27219388
123	0.2720060323
124	0.2716924209
125	0.2711876016
126	0.2709475696
127	0.2701959208
128	0.2699775393
129	0.2697748686
130	0.2695039339
131	0.2692523808
132	0.2690415707
133	0.2689534551
134	0.2686299196
135	0.2683899902
136	0.2680409008
137	0.2677174466
138	0.2672120208
139	0.2670155433
140	0.2667845073
141	0.2666057952
142	0.2664289125
143	0.2661655094
144	0.2660573188
145	0.2659634459
146	0.265892526
147	0.2656453768
148	0.26549916
149	0.2653742707
150	0.2650522718
151	0.2648181173
152	0.2645600625
153	0.2644176265
154	0.2642017209
155	0.263958191
156	0.2638284527
157	0.2636762022
158	0.263508874
159	0.2630983515
160	0.2629054816
161	0.262744493
162	0.2625613448
163	0.2623202022
164	0.2622186703
165	0.2621048464
166	0.2617313836
167	0.261609672
168	0.2613876287
169	0.2611837095
170	0.2610537248
171	0.2606286509
172	0.2604592222
173	0.2602337425
174	0.2600597976
175	0.2597983901
176	0.259688205
177	0.2594798078
178	0.2593823284
179	0.2593375609
180	0.2591685901
181	0.259005824
182	0.2588646215
183	0.2587278778
184	0.2586449272
185	0.2584671609
186	0.2583899548
187	0.2582558427
188	0.2580819497
189	0.2577458387
190	0.2575714018
191	0.2575544236
192	0.2573479632
193	0.2571601826
194	0.2570749384
195	0.2569011186
196	0.256739577
197	0.2565551864
198	0.256416979
199	0.2562859491
200	0.2562070859
201	0.2560492184
202	0.2559624156
203	0.2558663441
204	0.2556469284
205	0.2554909502
206	0.2552159613
207	0.255074863
208	0.2549026625
209	0.2548384748
210	0.2546690312
211	0.2546111964
212	0.254442726
213	0.2543261225
214	0.2541878982
215	0.2541113081
216	0.2539132182
217	0.2538113532
218	0.2537694127
219	0.2535828406
220	0.2534005563
221	0.2532185327
222	0.2530872013
223	0.2530455128
224	0.2529734671
225	0.2528707325
226	0.2527224291
227	0.2526003099
228	0.2524685989
229	0.2523502338
230	0.2522420533
231	0.2520018372
232	0.2519172299
233	0.2517371412
234	0.2516116946
235	0.2514450908
236	0.2512881072
237	0.251142641
238	0.2510061445
239	0.2505761472
240	0.2504426561
241	0.2503166849
242	0.2500633753
243	0.2498492293
244	0.2497143544
245	0.2496103741
246	0.249400305
247	0.2492803493
248	0.2491425971
249	0.2490138303
250	0.2488331642
251	0.2487798897
252	0.2486368061
253	0.2485710289
254	0.2484024627
255	0.2483036038
256	0.2481575419
257	0.247995549
258	0.2478859835
259	0.2476786906
260	0.2476018456
261	0.2475296535
262	0.2473782548
263	0.2472806556
264	0.2471978752
265	0.2470835178
266	0.2469988086
267	0.2469799154
268	0.2468709999
269	0.2467305165
270	0.2465573731
271	0.2464385116
272	0.246297871
273	0.2461864094
274	0.246026693
275	0.2459743535
276	0.2458091227
277	0.2456728243
278	0.2455262674
279	0.2454061566
280	0.2453048687
281	0.2452376287
282	0.2450753251
283	0.2449636959
284	0.2448119715
285	0.24473882
286	0.2446313762
287	0.2444148934
288	0.244251607
289	0.2442283806
290	0.2441041538
291	0.2439467482
292	0.2438350815
293	0.243727536
294	0.243565596
295	0.2434360683
296	0.2433136012
297	0.2431971906
298	0.2430863457
299	0.2429422216
300	0.2428379389
301	0.2426201951
302	0.2425473259
303	0.2424315632
304	0.2423769933
305	0.2421993894
306	0.2420612175
307	0.2420141149
308	0.2418864432
309	0.2417426503
310	0.2416712745
311	0.2415288282
312	0.2414523616
313	0.2413538752
314	0.2412503499
315	0.2410165992
316	0.2408816502
317	0.2407496754
318	0.24056749
319	0.2403772501
320	0.2402652503
321	0.2402196425
322	0.2401298012
323	0.2401167406
324	0.2399857039
325	0.2398827063
326	0.2398004916
327	0.2395750324
328	0.2395106288
329	0.2394704154
330	0.2394157012
331	0.2392228971
332	0.2391376851
333	0.2390620215
334	0.2389737412
